0.2344	45.5237	0.455237
0.7141	45.5192	0.455192
1.1938	45.5147	0.455147
1.6736	45.5101	0.455101
2.1533	45.5056	0.455056
2.633	45.5011	0.455011
3.1103	48.6363	0.486363
3.5901	48.6318	0.486318
4.0698	48.6273	0.486273
4.5495	48.6228	0.486228
5.0293	48.6182	0.486182
5.509	48.6137	0.486137
5.9887	48.6092	0.486092
6.4685	48.6047	0.486047
6.9482	48.6002	0.486002
7.4304	45.4559	0.454559
7.9126	42.3117	0.423117
8.3923	42.3071	0.423071
8.8745	39.1629	0.391629
9.3542	39.1584	0.391584
9.3567	36.0186	0.360186
9.8364	36.0141	0.360141
10.3186	32.8698	0.328698
10.8008	29.7256	0.297256
10.8032	26.5858	0.265858
10.8057	23.4461	0.234461
11.2878	20.3018	0.203018
11.2903	17.1621	0.171621
11.7725	14.0178	0.140178
11.7749	10.8781	0.108781
11.7774	7.7384	0.077384
12.2596	4.5941	0.045941
12.7417	1.4498	0.014498
12.7442	-1.6899	-0.016899
12.7466	-4.8296	-0.048296
13.2288	-7.9739	-0.079739
13.2313	-11.1136	-0.111136
13.7134	-14.2579	-0.142579
13.7159	-17.3976	-0.173976
13.7183	-20.5374	-0.205374
14.2005	-23.6816	-0.236816
14.203	-26.8214	-0.268214
14.6851	-29.9656	-0.299656
14.6876	-33.1054	-0.331054
15.1698	-36.2496	-0.362496
15.1722	-39.3894	-0.393894
15.6544	-42.5336	-0.425336
15.6569	-45.6734	-0.456734
16.139	-48.8176	-0.488176
16.6163	-45.6824	-0.456824
17.0961	-45.6869	-0.456869
17.5733	-42.5517	-0.425517
18.0506	-39.4165	-0.394165
18.5279	-36.2813	-0.362813
19.0077	-36.2858	-0.362858
19.4825	-30.0108	-0.300108
19.4849	-33.1506	-0.331506
19.9622	-30.0153	-0.300153
20.4395	-26.8801	-0.268801
20.9168	-23.7449	-0.237449
21.3941	-20.6097	-0.206097
21.3965	-23.7494	-0.237494
21.8738	-20.6142	-0.206142
22.3511	-17.479	-0.17479
22.8284	-14.3438	-0.143438
23.3057	-11.2085	-0.112085
23.3081	-14.3483	-0.143483
23.7854	-11.213	-0.11213
24.2627	-8.0778	-0.080778
24.74	-4.9426	-0.049426
25.2173	-1.8074	-0.018074
25.2197	-4.9471	-0.049471
