340	75	2.9	15.8	0.824	1.41	0.76	0.796	1	0.8543	1.21	1.157064888	0.019256534	0.5	0.025	1.28	0.75	1.05186272	12.28608468	1.368052386	-5.122601572	-8.726460681	0.698006533	0.360338988	0.096271359
330	78	2.5	14.7	0.8074	1.41	0.77	0.8	1	0.85715	1.19	1.152440873	0.020084856	0.6	0.2245	1.07	0.75	0.832466672	12.26563696	1.082705942	-5.136710501	-8.73257455	0.616420984	0.35260619	0.096447546
320	81	3.2	14.9	0.7907	1.41	0.79	0.803	1	0.86	1.15	1.147816859	0.020513215	0.6	0.424	1.07	0.75	0.907167872	13.33882371	1.179862304	-4.396211641	-8.411691711	0.420295504	0.345937904	0.096623732
310	82	4	14.2	0.7743	1.45	0.8	0.807	1	0.86285	1.14	1.143192844	0.019341722	0.7	0.6235	1.14	0.75	0.951665214	14.08265582	1.237735536	-3.882967486	-8.189285911	0.296033169	0.339269619	0.096799918
300	82	4.4	13.7	0.758	1.45	0.8	0.81	1	0.8657	1.13	1.13856883	0.023074333	0.9	0.823	1.21	0.75	0.97252294	14.59964924	1.264863089	-3.526242026	-8.034704878	0.327893776	0.332601333	0.095482126
290	83	4.7	12.8	0.7422	1.45	0.8	0.848	1	0.7896	1.1	0.987265009	0.026806944	1.1	1.1065	1.21	0.75	1.162036503	16.55408101	1.511344381	-2.177684101	-7.450329777	0.319674166	0.321876571	0.093554325
280	82	4.4	13	0.7269	1.31	0.81	0.886	1	0.7135	1.08	0.835961189	0.033520816	1.3	1.39	1.07	0.75	1.127469406	16.70600296	1.466386423	-2.072857957	-7.404905115	0.437910845	0.310579611	0.091626524
270	77	4.7	14.4	0.7122	1.31	0.81	0.918	1	0.71275	1.02	0.788963008	0.040234688	1.5	0.7155	1.1	0.75	0.960747543	14.77617353	1.249548011	-3.404440265	-7.981924115	0.656125272	0.299282651	0.089698723
260	71	4	16.2	0.6983	1.31	0.84	0.949	1	0.712	0.97	0.741964827	0.041422301	1.8	0.041	1.14	0.75	1.112123613	15.49802529	1.446427689	-2.906362551	-7.766090439	0.815439361	0.28758843	0.087770922
250	73	1	19.2	0.6853	1.43	0.86	0.967	1	0.6966	0.96	0.644329897	0.042609915	1.9	-0.710333333	1.11	0.75	4.558698517	19.06619912	5.929042135	-0.444322608	-6.699206463	0.72199523	0.275873502	0.089544388
