1.1599	1.0062
9.28	0.9841
21.0226	0.9839
29.1776	1.0443
40.0936	1.2256
49.2276	1.4647
58.2114	1.3491
69.053	1.3545
79.8829	1.3323
88.9331	1.3734
100.7943	1.6537
108.961	1.7416
119.7536	1.6315
130.5475	1.5241
141.1586	0.9852
151.1097	1.0208
162.056	1.2736
170.1575	1.2075
180.9688	1.1414
190.8861	1.0973
199.9211	1.1026
211.6811	1.1437
219.8035	1.1271
228.8258	1.1023
239.6615	1.0939
250.5089	1.113
261.3586	1.1376
269.4741	1.1045
281.2038	1.0741
290.297	1.217
302.0372	1.2113
311.9429	1.1397
320.0443	1.0736
330.8836	1.0735
339.1026	1.2851
350.9115	1.4416
360.8451	1.436
370.7671	1.4029
378.8896	1.3863
391.5272	1.3669
400.5692	1.3888
410.5471	1.4876
419.6007	1.537
430.4493	1.5588
439.4808	1.556
451.2093	1.5228
459.3422	1.531
470.1733	1.5116
479.2014	1.5005
490.9462	1.5058
498.1793	1.5222
511.7726	1.6265
519.9335	1.7007
531.6329	1.5988
540.5643	1.3595
551.3384	1.2054
561.2068	1.0458
571.1253	1.0045
